Country,Country (2015.csv),Country (2017.csv),Region,Region (2015.csv),Dystopia Residual,Dystopia Residual (2015.csv),Dystopia.Residual,Economy (GDP per Capita),Economy (GDP per Capita) (2015.csv),Economy..GDP.per.Capita.,Family,Family (2015.csv),Family (2017.csv),Freedom,Freedom (2015.csv),Freedom (2017.csv),Generosity,Generosity (2015.csv),Generosity (2017.csv),Happiness Rank (2015.csv),Happiness Rank(2016.csv),Happiness Score,Happiness Score (2015.csv),Happiness.Rank(2017.csv),Happiness.Score,Health (Life Expectancy),Health (Life Expectancy) (2015.csv),Health..Life.Expectancy.,Lower Confidence Interval,Standard Error,Trust (Government Corruption),Trust (Government Corruption) (2015.csv),Trust..Government.Corruption.,Upper Confidence Interval,Whisker.high,Whisker.low
Mexico,Mexico,Mexico,Latin America and Caribbean,Latin America and Caribbean,3.55906,3.60214,2.837154865,1.11508,1.02054,1.153183818,0.7146,0.91451,1.210862160,0.37709,0.48181,0.412730008,0.11735,0.14074,0.120990433,14,21,6.778,7.187,25,6.578000069,0.71143,0.81444,0.709978998,6.68,0.04176,0.18355,0.21312,0.132774115,6.876,6.671148908,6.484851230
United States,United States,United States,North America,North America,2.72782,2.51011,2.218113422,1.50796,1.39451,1.546259284,1.04782,1.24711,1.419920564,0.48163,0.54604,0.505740523,0.41077,0.40105,0.392578781,15,13,7.104,7.119,14,6.993000031,0.779,0.86179,0.774286628,7.02,0.03839,0.14868,0.1589,0.135638788,7.188,7.074656748,6.911343313
Brazil,Brazil,Brazil,Latin America and Caribbean,Latin America and Caribbean,3.50733,3.26001,2.769267082,1.08754,0.98124,1.107353210,1.03938,1.23287,1.431306005,0.40425,0.49049,0.437453747,0.15776,0.14574,0.162349895,16,17,6.952,6.983,22,6.635000229,0.61415,0.69702,0.616552353,6.875,0.04076,0.14166,0.17521,0.111092761,7.029,6.725469502,6.544530956
Luxembourg,Luxembourg,Luxembourg,Western Europe,Western Europe,2.11055,1.96961,1.619512081,1.69752,1.56391,1.741943598,1.03999,1.21963,1.457583666,0.5487,0.61583,0.596627891,0.27571,0.28034,0.283180982,17,20,6.871,6.946,18,6.862999916,0.84542,0.91894,0.845089495,6.804,0.03499,0.35329,0.37798,0.318834424,6.938,6.923686100,6.802313732
Ireland,Ireland,Ireland,Western Europe,Western Europe,2.15988,1.9757,1.773869038,1.48341,1.33596,1.535706639,1.16157,1.36948,1.558231115,0.54008,0.61777,0.573110342,0.44963,0.45901,0.427858323,18,19,6.907,6.94,15,6.977000237,0.81455,0.89533,0.809782624,6.836,0.03676,0.29754,0.28703,0.298388153,6.978,7.043351668,6.910648805
Belgium,Belgium,Belgium,Western Europe,Western Europe,2.61355,2.41484,2.124210358,1.42539,1.30782,1.463780761,1.05249,1.28566,1.462312698,0.51354,0.5845,0.539770722,0.2424,0.2225,0.231503338,19,18,6.929,6.937,17,6.890999794,0.81959,0.89667,0.818091869,6.861,0.03595,0.26248,0.2254,0.251343131,6.997,6.955820750,6.826178838
United Arab Emirates,United Arab Emirates,United Arab Emirates,Middle East and Northern Africa,Middle East and Northern Africa,2.21507,2.24743,1.734703541,1.57352,1.42727,1.626343369,0.87114,1.12575,1.266410232,0.56215,0.64157,0.608345270,0.26591,0.26428,0.360941947,20,28,6.573,6.901,21,6.647999763,0.72993,0.80925,0.726798236,6.494,0.03729,0.35561,0.38583,0.324489564,6.652,6.722047304,6.573952223
United Kingdom,United Kingdom,United Kingdom,Western Europe,Western Europe,2.14999,1.96994,1.704143524,1.40283,1.26637,1.441633940,1.08672,1.28548,1.496460080,0.50036,0.59625,0.508190036,0.50156,0.51912,0.492774159,21,23,6.725,6.867,19,6.714000225,0.80991,0.90943,0.805335939,6.647,0.01866,0.27399,0.32067,0.265428066,6.803,6.783791761,6.644208689
,Oman,,,Middle East and Northern Africa,,2.47489,,,1.36011,,,1.08182,,,0.63274,,,0.21542,,22,,,6.853,,,,0.76276,,,0.05335,,0.32524,,,,
Venezuela,Venezuela,Venezuela,Latin America and Caribbean,Latin America and Caribbean,2.97468,3.19131,1.789463758,1.13367,1.04424,1.128431201,1.03302,1.25596,1.431337595,0.19847,0.42908,0.153997123,0.0425,0.05841,0.065019630,23,44,6.084,6.81,82,5.25,0.61904,0.72052,0.617144227,5.973,0.06476,0.08304,0.11069,0.064491123,6.195,5.370031946,5.129968054
Singapore,Singapore,Singapore,Southeastern Asia,Southeastern Asia,1.99375,1.88501,1.216362000,1.64555,1.52186,1.692277670,0.86758,1.02,1.353814363,0.4877,0.54252,0.549840569,0.32706,0.31105,0.345965981,24,22,6.739,6.798,26,6.572000027,0.94719,1.02525,0.949492395,6.674,0.0378,0.46987,0.4921,0.464307785,6.804,6.636723069,6.507276984
Panama,Panama,Panama,Latin America and Caribbean,Latin America and Caribbean,3.00559,2.84848,2.307199955,1.18306,1.06353,1.233748436,0.98912,1.1985,1.373192549,0.48927,0.5421,0.550026834,0.2418,0.24434,0.210556939,25,25,6.701,6.786,30,6.452000141,0.70835,0.79661,0.706156135,6.601,0.0491,0.08423,0.0927,0.070983924,6.801,6.557130716,6.346869566
Germany,Germany,Germany,Western Europe,Western Europe,2.50931,2.11569,2.015769958,1.44787,1.32792,1.487923384,1.09774,1.29937,1.472520351,0.53466,0.61477,0.562511384,0.30452,0.28214,0.336269170,26,16,6.994,6.75,16,6.951000214,0.81487,0.89186,0.798950732,6.93,0.01848,0.28551,0.21843,0.276731938,7.058,7.005381569,6.896618858
Chile,Chile,Chile,Latin America and Caribbean,Latin America and Caribbean,2.95505,2.67585,2.509585857,1.2167,1.10715,1.252784610,0.90587,1.12447,1.284024954,0.37789,0.44132,0.376895279,0.31595,0.33363,0.326662421,27,24,6.705,6.67,20,6.651999950,0.81883,0.85857,0.819479704,6.615,0.058,0.11451,0.12869,0.082287982,6.795,6.739250560,6.564749341
Qatar,Qatar,Qatar,Middle East and Northern Africa,Middle East and Northern Africa,1.58224,1.55674,1.145464420,1.82427,1.69042,1.870765686,0.87964,1.0786,1.274296880,0.56679,0.6404,0.604130983,0.32388,0.32573,0.330473870,28,36,6.375,6.611,35,6.375,0.71723,0.79733,0.710098088,6.178,0.06257,0.48049,0.52208,0.439299256,6.572,6.568476814,6.181523186
France,France,France,Western Europe,Western Europe,2.4744,2.21126,2.005954742,1.39488,1.27778,1.430923462,1.00508,1.26038,1.387776852,0.46562,0.55011,0.470222116,0.1216,0.12332,0.129762307,29,32,6.478,6.575,31,6.441999912,0.83795,0.94579,0.844465852,6.397,0.03512,0.17808,0.20646,0.172502428,6.559,6.515767802,6.368232022
Argentina,Argentina,Argentina,Latin America and Caribbean,Latin America and Caribbean,3.12985,2.836,2.614005327,1.15137,1.05351,1.185295463,1.06612,1.24823,1.440451145,0.42284,0.44974,0.494519204,0.10989,0.11451,0.109457061,30,26,6.65,6.574,24,6.598999977,0.69711,0.78723,0.695137084,6.56,0.04612,0.07296,0.08484,0.059739888,6.74,6.690085086,6.507914868
Czech Republic,Czech Republic,Czech Republic,Central and Eastern Europe,Central and Eastern Europe,2.96211,2.67782,2.451861858,1.30915,1.17898,1.352682352,1.00793,1.20643,1.433885217,0.41418,0.46364,0.490946174,0.09929,0.10686,0.088106759,31,27,6.596,6.505,23,6.609000206,0.76376,0.84483,0.754444003,6.515,0.04168,0.03986,0.02652,0.036872927,6.677,6.683862463,6.534137949
Uruguay,Uruguay,Uruguay,Latin America and Caribbean,Latin America and Caribbean,2.67139,2.32142,2.172409534,1.18157,1.06166,1.217559695,1.03143,1.2089,1.412227869,0.54388,0.60362,0.579392254,0.18056,0.2324,0.175096929,32,29,6.545,6.485,28,6.453999996,0.72183,0.8116,0.719216824,6.456,0.04539,0.21394,0.24558,0.178061873,6.634,6.545906218,6.362093775
Colombia,Colombia,Colombia,Latin America and Caribbean,Latin America and Caribbean,3.17471,2.85737,2.616068125,1.03032,0.91861,1.070622325,1.02169,1.24018,1.402182937,0.44735,0.53466,0.477487415,0.15626,0.18401,0.149014473,33,31,6.481,6.477,36,6.356999874,0.59659,0.69077,0.595027924,6.384,0.05051,0.05399,0.0512,0.046668742,6.578,6.452020054,6.261979694
Thailand,Thailand,Thailand,Southeastern Asia,Southeastern Asia,2.5796,2.31945,2.039508343,1.0893,0.9669,1.127868772,1.04477,1.26504,1.425792456,0.49553,0.55664,0.580200732,0.58696,0.5763,0.572123110,34,33,6.474,6.455,32,6.423999786,0.64915,0.7385,0.647239029,6.396,0.03557,0.02833,0.03187,0.031612735,6.552,6.509116856,6.338882717
Saudi Arabia,Saudi Arabia,Saudi Arabia,Middle East and Northern Africa,Middle East and Northern Africa,2.61482,2.43872,2.065429688,1.48953,1.39541,1.530623555,0.84829,1.08393,1.286677599,0.37904,0.31048,0.449750572,0.15457,0.13706,0.147616014,35,34,6.379,6.411,37,6.343999863,0.59267,0.72025,0.590148330,6.287,0.04633,0.30008,0.32524,0.273432255,6.471,6.444166612,6.243833113
Spain,Spain,Spain,Western Europe,Western Europe,2.39663,2.12367,1.927757740,1.34253,1.23011,1.384397864,1.12945,1.31379,1.532090902,0.37545,0.45951,0.408781230,0.17665,0.18227,0.190133572,36,37,6.361,6.329,34,6.402999878,0.87896,0.95562,0.888960600,6.288,0.03468,0.06137,0.06398,0.070914097,6.434,6.471054845,6.334944911
Malta,Malta,Malta,Western Europe,Western Europe,1.99032,1.6488,1.556862831,1.30782,1.2074,1.343279839,1.09879,1.30203,1.488411665,0.54994,0.60365,0.588767052,0.56237,0.51752,0.574730575,37,30,6.488,6.302,27,6.526999950,0.80315,0.88721,0.821944237,6.409,0.04206,0.17554,0.13586,0.153066069,6.567,6.598396773,6.455603128
Taiwan,Taiwan,,Eastern Asia,Eastern Asia,2.61523,2.32323,,1.39729,1.29098,,0.92624,1.07617,,0.32377,0.3974,,0.25495,0.25376,,38,34,6.379,6.298,,,0.79565,0.8753,,6.305,0.03868,0.0663,0.08129,,6.453,,
Kuwait,Kuwait,Kuwait,Middle East and Northern Africa,Middle East and Northern Africa,2.28085,1.87634,1.640425205,1.61714,1.55422,1.632952452,0.87758,1.16594,1.259698749,0.43166,0.55499,0.496337593,0.15965,0.16228,0.228289798,39,41,6.239,6.295,39,6.105000019,0.63569,0.72492,0.632105708,6.154,0.04456,0.23669,0.25609,0.215159550,6.324,6.191956989,6.018043049
Suriname,Suriname,,Latin America and Caribbean,Latin America and Caribbean,3.06852,2.79094,,1.09686,0.99534,,0.77866,0.972,,0.52234,0.59657,,0.16665,0.16991,,40,40,6.269,6.269,,,0.50933,0.6082,,6.073,0.09811,0.12692,0.13633,,6.465,,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America and Caribbean,Latin America and Caribbean,2.51394,2.26882,2.053247452,1.32572,1.21183,1.361355901,0.98569,1.18354,1.380228519,0.48453,0.55884,0.518630743,0.31935,0.31844,0.325296462,41,43,6.168,6.168,38,6.168000221,0.52608,0.61483,0.519983292,5.95,0.10895,0.01241,0.0114,0.008964816,6.386,6.381533891,5.954466552
El Salvador,El Salvador,El Salvador,Latin America and Caribbean,Latin America and Caribbean,3.22134,3.035,2.714593887,0.8737,0.76454,0.909784496,0.80975,1.02507,1.182125092,0.37269,0.4035,0.432452530,0.08877,0.10692,0.078257985,42,46,6.068,6.13,45,6.002999783,0.596,0.67737,0.596018553,5.967,0.05618,0.10613,0.11776,0.089980960,6.169,6.108635122,5.897364443
Guatemala,Guatemala,Guatemala,Latin America and Caribbean,Latin America and Caribbean,3.19863,2.74255,2.893891096,0.83454,0.74553,0.872001946,0.87119,1.04356,1.255585194,0.50379,0.57733,0.531310618,0.28808,0.27489,0.283488393,43,39,6.324,6.123,29,6.453999996,0.54039,0.64425,0.540239990,6.213,0.05224,0.08701,0.09472,0.077223279,6.435,6.566873973,6.341126020
Uzbekistan,Uzbekistan,Uzbekistan,Central and Eastern Europe,Central and Eastern Europe,2.34638,2.23741,1.816913605,0.73591,0.63244,0.786441088,1.1681,1.34043,1.548969150,0.60848,0.65821,0.658248663,0.34326,0.22837,0.415983647,44,49,5.987,6.003,47,5.971000195,0.50163,0.59772,0.498272628,5.896,0.04361,0.28333,0.30826,0.246528223,6.078,6.065537573,5.876462816
Slovakia,Slovakia,Slovakia,Central and Eastern Europe,Central and Eastern Europe,2.61065,2.24639,2.097776651,1.27973,1.16891,1.325393558,1.08268,1.26999,1.505059242,0.23391,0.31751,0.295817465,0.13837,0.16893,0.136544481,45,45,6.078,5.995,40,6.098000050,0.70367,0.78902,0.712732911,5.996,0.04267,0.02947,0.03431,0.024210852,6.16,6.177348412,6.018651687
Japan,Japan,Japan,Eastern Asia,Eastern Asia,1.80584,1.68435,1.363223553,1.38007,1.27074,1.416915178,1.06054,1.25712,1.436337829,0.46761,0.49615,0.505625546,0.10224,0.10705,0.120572768,46,53,5.921,5.987,51,5.920000076,0.91491,0.99111,0.913475871,5.85,0.03581,0.18985,0.1806,0.163760737,5.992,5.990719445,5.849280708
South Korea,South Korea,South Korea,Eastern Asia,Eastern Asia,2.35015,2.21978,1.880378008,1.35948,1.24461,1.401678443,0.72194,0.95774,1.128274441,0.25168,0.33208,0.257921666,0.18824,0.18557,0.206674367,47,57,5.835,5.984,55,5.837999821,0.88645,0.96538,0.900214076,5.747,0.04098,0.07716,0.07857,0.063282669,5.923,5.922559028,5.753440613
Ecuador,Ecuador,Ecuador,Latin America and Caribbean,Latin America and Caribbean,2.77366,2.53942,2.290352583,0.97306,0.86402,1.000820398,0.85974,0.99903,1.286168814,0.4027,0.48574,0.455198199,0.10074,0.11541,0.150112465,48,51,5.976,5.975,44,6.007999897,0.68613,0.79075,0.685636222,5.88,0.04528,0.18037,0.1809,0.140134647,6.072,6.105847675,5.910152119
Bahrain,Bahrain,Bahrain,Middle East and Northern Africa,Middle East and Northern Africa,2.27405,1.73797,1.656149387,1.44024,1.32376,1.488412261,0.94397,1.21624,1.323110461,0.47375,0.45492,0.536746919,0.17147,0.17362,0.172668487,49,42,6.218,5.96,41,6.086999893,0.65696,0.74716,0.653133035,6.128,0.05412,0.25772,0.306,0.257042170,6.308,6.178989068,5.995010719
Italy,Italy,Italy,Western Europe,Western Europe,2.34918,2.02518,1.813312054,1.35495,1.25114,1.395066619,1.04167,1.19777,1.444923282,0.18827,0.26236,0.256450713,0.16684,0.22823,0.172789648,50,50,5.977,5.948,48,5.964000225,0.85102,0.95446,0.853144348,5.898,0.03914,0.02556,0.02901,0.028028091,6.056,6.042736906,5.885263544
Bolivia,Bolivia,Bolivia,Latin America and Caribbean,Latin America and Caribbean,2.91635,2.82334,2.443279028,0.79422,0.68133,0.833756566,0.83779,0.97841,1.227619052,0.50961,0.57414,0.558732927,0.21698,0.20536,0.225560725,51,59,5.822,5.89,58,5.822999954,0.4697,0.5392,0.473630250,5.74,0.05642,0.07746,0.088,0.060477726,5.904,5.903976903,5.742023006
Moldova,Moldova,Moldova,Central and Eastern Europe,Central and Eastern Europe,3.38007,3.10712,2.807808399,0.69177,0.59448,0.728870630,0.83132,1.01528,1.251825571,0.25202,0.32818,0.240729049,0.19997,0.20951,0.208779126,52,55,5.897,5.889,56,5.837999821,0.52309,0.61826,0.589465201,5.823,0.03799,0.01903,0.01615,0.010091286,5.971,5.908370838,5.767628803
Paraguay,Paraguay,Paraguay,Latin America and Caribbean,Latin America and Caribbean,2.16091,2.18896,1.685333490,0.89373,0.75985,0.932537317,1.11111,1.30477,1.507284880,0.46235,0.53899,0.473507792,0.25296,0.3424,0.224150658,53,70,5.538,5.878,70,5.493000031,0.58295,0.66098,0.579250693,5.453,0.04563,0.07396,0.08242,0.091065913,5.623,5.577381270,5.408618791
Kazakhstan,Kazakhstan,Kazakhstan,Central and Eastern Europe,Central and Eastern Europe,2.49325,2.24729,1.784892559,1.22943,1.12254,1.284556270,0.95544,1.12241,1.384369016,0.4052,0.51649,0.437454283,0.15011,0.11827,0.201964423,54,54,5.919,5.855,60,5.818999767,0.57386,0.64368,0.606041551,5.837,0.04114,0.11132,0.08454,0.119282886,6.001,5.903641775,5.734357760
Slovenia,Slovenia,Slovenia,Central and Eastern Europe,Central and Eastern Europe,1.79522,1.61583,1.313317299,1.29947,1.18498,1.341205955,1.05613,1.27385,1.452518821,0.53164,0.60855,0.572575808,0.25738,0.25328,0.242649093,55,63,5.768,5.848,62,5.757999897,0.79151,0.87337,0.790828228,5.683,0.04251,0.03635,0.03787,0.045128979,5.853,5.842225160,5.673774634
Lithuania,Lithuania,Lithuania,Central and Eastern Europe,Central and Eastern Europe,2.60525,2.44649,2.228440523,1.2692,1.14723,1.314582348,1.06411,1.25745,1.473516107,0.18929,0.21342,0.234231785,0.02025,0.02641,0.010164657,56,60,5.813,5.833,52,5.901999950,0.64674,0.73128,0.628949940,5.734,0.03843,0.0182,0.01031,0.011865643,5.892,5.982669641,5.821330259
Nicaragua,Nicaragua,Nicaragua,Latin America and Caribbean,Latin America and Caribbean,2.82428,2.32407,2.513930559,0.69384,0.59325,0.737299204,0.89521,1.14184,1.287215710,0.46582,0.55475,0.447551847,0.29773,0.27815,0.301674217,57,48,5.992,5.828,43,6.071000099,0.65213,0.74314,0.653095961,5.877,0.05371,0.16292,0.19317,0.130687982,6.107,6.186583600,5.955416598
Peru,Peru,Peru,Latin America and Caribbean,Latin America and Caribbean,2.73117,2.5945,2.207269430,0.99602,0.90019,1.035225272,0.81255,0.97459,1.218770385,0.37502,0.41496,0.450002879,0.14527,0.14982,0.126819715,58,64,5.743,5.824,63,5.715000153,0.62994,0.73017,0.630166113,5.647,0.04615,0.05292,0.05989,0.047049087,5.839,5.811946779,5.618053527
Belarus,Belarus,Belarus,Central and Eastern Europe,Central and Eastern Europe,2.38582,2.1309,1.723232985,1.13062,1.03192,1.156557560,1.04993,1.23289,1.444945216,0.29091,0.37938,0.295400262,0.13942,0.11046,0.155137509,59,61,5.802,5.813,67,5.568999767,0.63104,0.73608,0.637714267,5.723,0.03938,0.17457,0.1909,0.156313822,5.881,5.646114244,5.491885291
Poland,Poland,Poland,Central and Eastern Europe,Central and Eastern Europe,2.20035,1.86565,1.797722816,1.24585,1.12555,1.291787863,1.04685,1.27948,1.445711970,0.4519,0.53122,0.520342112,0.14443,0.16759,0.158465967,60,57,5.835,5.791,46,5.973000050,0.69058,0.77903,0.699475348,5.749,0.04263,0.055,0.04212,0.059307806,5.921,6.053908341,5.892091758
Malaysia,Malaysia,Malaysia,Southeastern Asia,Southeastern Asia,2.35384,1.88541,2.004448891,1.25142,1.12486,1.291215420,0.88025,1.07023,1.284646034,0.39031,0.53024,0.402264982,0.41474,0.33075,0.416608930,61,47,6.005,5.77,42,6.084000111,0.62366,0.72394,0.618784428,5.921,0.0433,0.09081,0.10501,0.065600708,6.089,6.179979637,5.988020585
Croatia,Croatia,Croatia,Central and Eastern Europe,Central and Eastern Europe,2.52462,2.75414,1.854492426,1.18649,1.08254,1.222556233,0.60809,0.79624,0.967983007,0.23907,0.25883,0.255772293,0.18434,0.05444,0.248002976,62,74,5.488,5.759,77,5.293000221,0.70524,0.78805,0.701288521,5.402,0.04394,0.04002,0.0243,0.043103110,5.574,5.391777205,5.194223238
Libya,Libya,Libya,Middle East and Northern Africa,Middle East and Northern Africa,2.39374,2.09066,1.835011244,1.06688,1.13145,1.101803064,0.95076,1.11862,1.357564330,0.40672,0.41668,0.465733230,0.17087,0.18295,0.152073666,63,67,5.615,5.754,68,5.525000095,0.52304,0.7038,0.520169020,5.406,0.07832,0.10339,0.11023,0.092610210,5.824,5.676953807,5.373046384
Russia,Russia,Russia,Central and Eastern Europe,Central and Eastern Europe,2.59115,2.27394,2.205607414,1.23228,1.13764,1.281778097,1.05261,1.23617,1.469282389,0.32682,0.36679,0.373783112,0.02736,0.00199,0.052263822,64,56,5.856,5.716,49,5.962999821,0.58991,0.66926,0.547349334,5.789,0.03135,0.03586,0.03005,0.032962881,5.923,6.030274907,5.895724734
Jamaica,Jamaica,Jamaica,Latin America and Caribbean,Latin America and Caribbean,2.35682,2.32038,1.612325668,0.89333,0.81038,0.925579309,0.96372,1.15102,1.368218064,0.43597,0.50442,0.474307239,0.22245,0.2123,0.233818337,65,73,5.51,5.709,76,5.310999870,0.59469,0.68741,0.641022384,5.315,0.13693,0.04294,0.02299,0.055267781,5.705,5.581398728,5.040601012
North Cyprus,North Cyprus,North Cyprus,Western Europe,Western Europe,1.93447,1.59888,1.549157619,1.31141,1.20806,1.346911311,0.81826,1.07008,1.186303377,0.43596,0.49027,0.471203625,0.26322,0.26169,0.266845703,66,62,5.771,5.695,61,5.809999943,0.84142,0.92356,0.834647238,5.67,0.05635,0.16578,0.1428,0.155353352,5.872,5.897366465,5.722633421
Cyprus,Cyprus,Cyprus,Western Europe,Western Europe,2.04497,1.88931,1.621249199,1.31857,1.20813,1.355938077,0.70697,0.89318,1.131363273,0.29507,0.40672,0.355111539,0.27906,0.30638,0.271254301,67,69,5.546,5.689,65,5.620999813,0.8488,0.92356,0.844714701,5.442,0.0558,0.05228,0.06146,0.041237976,5.65,5.714692699,5.527306927
Algeria,Algeria,Algeria,Middle East and Northern Africa,Middle East and Northern Africa,3.40904,2.43209,2.567603827,1.05266,0.93929,1.091864467,0.83309,1.07772,1.146217465,0.21006,0.28579,0.233335808,0.07044,0.07822,0.069436647,68,38,6.355,5.605,53,5.872000217,0.61804,0.61766,0.617584646,6.227,0.05099,0.16157,0.17383,0.146096110,6.483,5.978286434,5.765714001
Kosovo,Kosovo,Kosovo,Central and Eastern Europe,Central and Eastern Europe,2.80998,2.76579,2.010540724,0.90145,0.80148,0.951484382,0.66062,0.81198,1.137853503,0.14396,0.24749,0.260287941,0.27992,0.2831,0.319931448,69,77,5.401,5.589,78,5.278999805,0.54,0.63132,0.541452050,5.308,0.05018,0.06547,0.04741,0.057471618,5.494,5.364847995,5.193151615
Turkmenistan,Turkmenistan,Turkmenistan,Central and Eastern Europe,Central and Eastern Europe,2.21489,1.86984,1.832909822,1.08017,0.95847,1.130776763,1.03817,1.22668,1.493149161,0.37408,0.4761,0.418271929,0.22567,0.16979,0.249924988,70,65,5.658,5.548,59,5.822000027,0.44006,0.53886,0.437726080,5.58,0.04175,0.28467,0.30844,0.259270340,5.736,5.885180876,5.758819178
Mauritius,Mauritius,Mauritius,Sub-Saharan Africa,Sub-Saharan Africa,2.20223,1.76145,1.697583914,1.14372,1.00761,1.189395547,0.75695,0.98521,1.209560990,0.46145,0.56066,0.491247326,0.36951,0.37744,0.360933751,71,66,5.648,5.477,64,5.629000187,0.66189,0.7095,0.638007462,5.507,0.07197,0.05203,0.07521,0.042181555,5.789,5.729862192,5.528138182
Hong Kong,Hong Kong,,Eastern Asia,Eastern Asia,0.92614,0.65429,,1.5107,1.38604,,0.87021,1.05818,,0.48079,0.59608,,0.40097,0.39478,,72,75,5.458,5.474,,,0.95277,1.01328,,5.362,0.05051,0.31647,0.37124,,5.554,,
Estonia,Estonia,Estonia,Central and Eastern Europe,Central and Eastern Europe,1.81985,1.58782,1.357508659,1.27964,1.15174,1.320879340,1.05163,1.22791,1.476671100,0.41511,0.44888,0.479131430,0.08423,0.0868,0.098890811,73,72,5.517,5.429,66,5.611000061,0.68098,0.77361,0.695168316,5.437,0.04013,0.18519,0.15184,0.183248922,5.597,5.688139874,5.533860248
Indonesia,Indonesia,Indonesia,Southeastern Asia,Southeastern Asia,2.03171,1.86399,1.429476976,0.95104,0.82827,0.995538592,0.87625,1.08708,1.274444699,0.39237,0.46611,0.443323463,0.56521,0.51535,0.611704588,74,79,5.314,5.399,81,5.262000084,0.49374,0.63793,0.492345721,5.237,0.02596,0.00322,0,0.015317135,5.391,5.352888598,5.171111570
Vietnam,Vietnam,Vietnam,Southeastern Asia,Southeastern Asia,1.9418,2.20173,1.462318659,0.74037,0.63216,0.788547575,0.79117,0.91226,1.277491331,0.55954,0.59444,0.571055591,0.25075,0.1686,0.234968051,75,96,5.061,5.36,94,5.073999882,0.66157,0.74676,0.652168989,4.991,0.03107,0.11556,0.10441,0.087633237,5.131,5.147280765,5.000718999
Turkey,Turkey,Turkey,Middle East and Northern Africa,Middle East and Northern Africa,2.29074,2.08528,1.879277945,1.16492,1.06098,1.198274374,0.87717,0.94632,1.337753177,0.23889,0.22815,0.300740600,0.04707,0.12253,0.046693042,76,78,5.389,5.332,69,5.5,0.64718,0.73172,0.637605608,5.295,0.03864,0.12348,0.15746,0.099671580,5.483,5.594864963,5.405135037
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Central and Eastern Europe,Central and Eastern Europe,2.28136,2.2327,1.536723137,0.56044,0.47428,0.596220076,0.95434,1.15115,1.394238591,0.40212,0.43477,0.454943389,0.38432,0.3003,0.428580374,77,85,5.185,5.286,98,5.004000187,0.55449,0.65088,0.553457797,5.103,0.03823,0.04762,0.04232,0.039439179,5.267,5.089919903,4.918080471
Nigeria,Nigeria,Nigeria,Sub-Saharan Africa,Sub-Saharan Africa,2.88586,2.89319,2.365390539,0.75216,0.65435,0.783756256,0.64498,0.90432,1.215770483,0.27854,0.34334,0.394952565,0.23219,0.27233,0.230947196,78,103,4.875,5.268,95,5.073999882,0.05108,0.16007,0.056915730,4.75,0.04192,0.0305,0.0403,0.026121566,5,5.209500135,4.938499628
Bhutan,Bhutan,Bhutan,Southern Asia,Southern Asia,1.82916,1.63794,1.140184402,0.8527,0.77042,0.885416389,0.90836,1.10395,1.340126514,0.46074,0.53206,0.501537681,0.48546,0.47998,0.474054545,79,84,5.196,5.253,97,5.011000156,0.49759,0.57407,0.495879292,5.138,0.03225,0.1616,0.15445,0.173380390,5.254,5.079334562,4.942665751
Azerbaijan,Azerbaijan,Azerbaijan,Central and Eastern Europe,Central and Eastern Europe,2.2735,2.00073,1.762481689,1.12373,1.02389,1.153601766,0.76042,0.93793,1.152400255,0.35327,0.3703,0.398155838,0.0564,0.07799,0.045269340,80,81,5.291,5.212,85,5.234000206,0.54504,0.64045,0.540775776,5.226,0.03363,0.17914,0.16065,0.180987507,5.356,5.299286535,5.168713877
Pakistan,Pakistan,Pakistan,Southern Asia,Southern Asia,3.18286,3.10709,2.792489290,0.68816,0.59543,0.726883531,0.26135,0.41411,0.672690690,0.14622,0.12102,0.235215262,0.31185,0.33671,0.315446019,81,92,5.132,5.194,80,5.269000053,0.40306,0.51466,0.402047783,5.038,0.03726,0.1388,0.10464,0.124348067,5.226,5.359983641,5.178016465
Jordan,Jordan,Jordan,Middle East and Northern Africa,Middle East and Northern Africa,2.20142,1.87996,1.791176558,0.99673,0.90198,0.991012394,0.86216,1.05392,1.239088893,0.36023,0.40661,0.418421149,0.14262,0.11053,0.172170460,82,80,5.303,5.192,74,5.335999966,0.60712,0.69639,0.604590058,5.187,0.04524,0.13297,0.14293,0.119803272,5.419,5.448410022,5.223589909
Montenegro,Montenegro,Montenegro,Central and Eastern Europe,Central and Eastern Europe,2.25531,2.10017,1.729191542,1.07838,0.97438,1.121129036,0.74173,0.90557,1.238376498,0.15111,0.1826,0.194989055,0.17191,0.1614,0.197911024,82,88,5.161,5.192,83,5.236999989,0.63533,0.72521,0.667464674,5.055,0.05235,0.12721,0.14296,0.088174194,5.267,5.341044441,5.132955537
China,China,China,Eastern Asia,Eastern Asia,2.17087,1.8604,1.764938593,1.0278,0.89012,1.081165791,0.79381,0.94675,1.160837412,0.44012,0.51697,0.472787708,0.04959,0.08185,0.028806841,84,83,5.245,5.14,79,5.272999763,0.73561,0.81658,0.741415501,5.199,0.02424,0.02745,0.02781,0.022794275,5.291,5.319278090,5.226721437
