Country,Country (2015.csv),Country (2017.csv),Region,Region (2015.csv),Dystopia Residual,Dystopia Residual (2015.csv),Dystopia.Residual,Economy (GDP per Capita),Economy (GDP per Capita) (2015.csv),Economy..GDP.per.Capita.,Family,Family (2015.csv),Family (2017.csv),Freedom,Freedom (2015.csv),Freedom (2017.csv),Generosity,Generosity (2015.csv),Generosity (2017.csv),Happiness Rank (2015.csv),Happiness Rank(2016.csv),Happiness Score,Happiness Score (2015.csv),Happiness.Rank(2017.csv),Happiness.Score,Health (Life Expectancy),Health (Life Expectancy) (2015.csv),Health..Life.Expectancy.,Lower Confidence Interval,Standard Error,Trust (Government Corruption),Trust (Government Corruption) (2015.csv),Trust..Government.Corruption.,Upper Confidence Interval,Whisker.high,Whisker.low
Botswana,Botswana,Botswana,Sub-Saharan Africa,Sub-Saharan Africa,0.96741,1.46181,0.377913713,1.09426,0.99355,1.122094154,0.89186,1.10464,1.221554995,0.44089,0.49495,0.505196333,0.12425,0.10461,0.099348448,128,137,3.974,4.332,142,3.766000032,0.34752,0.04776,0.341755509,3.875,0.04934,0.10769,0.12474,0.098583199,4.073,3.874122666,3.657877399
Myanmar,Myanmar,Myanmar,Southeastern Asia,Southeastern Asia,1.50655,1.41805,1.115290403,0.34112,0.27108,0.367110550,0.69981,0.70905,1.123235941,0.42692,0.44017,0.514492035,0.81971,0.79588,0.838075161,129,119,4.395,4.307,114,4.545000076,0.3988,0.48246,0.397522569,4.327,0.04351,0.20243,0.19034,0.188816205,4.463,4.614739946,4.475260206
Georgia,Georgia,Georgia,Central and Eastern Europe,Central and Eastern Europe,1.87031,1.59541,1.500137806,0.83792,0.7419,0.950612664,0.19249,0.38562,0.570614934,0.32461,0.40577,0.309410036,0.06786,0.05547,0.054008815,130,126,4.252,4.297,125,4.285999775,0.64035,0.72926,0.649546981,4.164,0.04221,0.3188,0.38331,0.251666635,4.34,4.374933966,4.197065584
Malawi,Malawi,Malawi,Sub-Saharan Africa,Sub-Saharan Africa,2.82859,2.80791,2.081786156,0.08709,0.01604,0.233442038,0.147,0.41134,0.512568831,0.4143,0.43054,0.466914654,0.30968,0.33128,0.287170470,131,132,4.156,4.292,136,3.970000029,0.29364,0.22562,0.315089583,4.041,0.0613,0.07564,0.06977,0.072711654,4.271,4.077478817,3.862521240
Sri Lanka,Sri Lanka,Sri Lanka,Southern Asia,Southern Asia,0.91681,0.67108,0.419389248,0.97318,0.83524,1.009850144,0.84783,1.01905,1.259976387,0.50817,0.53726,0.561213255,0.46978,0.40828,0.490863562,132,117,4.415,4.271,120,4.440000057,0.62007,0.70806,0.625130832,4.322,0.03751,0.07964,0.09179,0.073653966,4.508,4.553447192,4.326552922
Cameroon,Cameroon,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,2.5198,1.95071,2.333645582,0.52497,0.4225,0.564305365,0.62542,0.88767,0.946018219,0.42736,0.49309,0.430388749,0.2268,0.20618,0.236298457,133,114,4.513,4.252,107,4.695000172,0.12698,0.23402,0.132892117,4.417,0.04678,0.06126,0.05786,0.051306631,4.609,4.796540857,4.593459486
Bulgaria,Bulgaria,Bulgaria,Central and Eastern Europe,Central and Eastern Europe,1.15377,0.89991,0.996139288,1.11306,1.01216,1.161459088,0.92542,1.10614,1.434379458,0.21219,0.30587,0.289231718,0.12793,0.11921,0.113177694,134,129,4.217,4.218,105,4.714000225,0.67806,0.76649,0.708217680,4.104,0.04828,0.00615,0.00872,0.011051531,4.33,4.803694706,4.624305744
Egypt,Egypt,Egypt,Middle East and Northern Africa,Middle East and Northern Africa,1.96895,1.59927,1.702161074,0.95395,0.8818,0.989701807,0.49813,0.747,0.997471392,0.18847,0.17288,0.282110155,0.12706,0.11291,0.128631443,135,120,4.362,4.194,104,4.735000134,0.52116,0.61712,0.520187259,4.259,0.0326,0.10393,0.06324,0.114381365,4.465,4.825133790,4.644866477
Yemen,Yemen,Yemen,Middle East and Northern Africa,Middle East and Northern Africa,1.97295,1.92313,1.345600605,0.57939,0.54649,0.591683447,0.47493,0.68093,0.935382247,0.2287,0.35571,0.249463722,0.09821,0.09131,0.104125209,136,147,3.724,4.077,146,3.592999935,0.31048,0.40064,0.310080916,3.621,0.04367,0.05892,0.07854,0.056767423,3.827,3.692750320,3.493249550
Angola,Angola,Angola,Sub-Saharan Africa,Sub-Saharan Africa,2.09459,1.94939,1.614482403,0.84731,0.75778,0.858428180,0.66366,0.8604,1.104411960,0.00589,0.10384,0,0.12071,0.12344,0.097926490,137,141,3.866,4.033,140,3.795000076,0.04991,0.16683,0.049868666,3.753,0.04758,0.08434,0.07122,0.069720335,3.979,3.951641935,3.638358217
Mali,Mali,Mali,Sub-Saharan Africa,Sub-Saharan Africa,2.11087,1.79293,1.668190956,0.31292,0.26074,0.476180494,0.86333,1.03526,1.281473398,0.27544,0.38857,0.306613743,0.21064,0.18798,0.183354199,138,135,4.073,3.995,127,4.190000057,0.16347,0.20583,0.169365674,3.988,0.05602,0.13647,0.12352,0.104970247,4.158,4.269670711,4.110329403
Congo (Brazzaville),Congo (Brazzaville),Congo (Brazzaville),Sub-Saharan Africa,Sub-Saharan Africa,2.10681,1.68135,1.724135637,0.77109,0.67866,0.808964252,0.47799,0.6629,0.832044363,0.37938,0.41466,0.435025871,0.12077,0.12388,0.120852128,139,127,4.236,3.989,124,4.290999889,0.28212,0.31051,0.289957434,4.107,0.06682,0.09753,0.11686,0.079618134,4.365,4.410053505,4.171946274
Comoros,Comoros,,Sub-Saharan Africa,Sub-Saharan Africa,2.25632,1.95812,,0.27509,0.23906,,0.60323,0.79273,,0.15412,0.22917,,0.1827,0.17441,,140,138,3.956,3.956,,,0.29981,0.36315,,3.86,0.04797,0.18437,0.199,,4.052,,
Uganda,Uganda,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,1.51416,1.42766,1.526362658,0.34719,0.21102,0.381430715,0.90981,1.13299,1.129827738,0.43653,0.45727,0.443185955,0.27102,0.29066,0.325766057,141,145,3.739,3.931,133,4.080999851,0.19625,0.33861,0.217632607,3.629,0.04317,0.06442,0.07267,0.057069719,3.849,4.195799967,3.966199735
Senegal,Senegal,Senegal,Sub-Saharan Africa,Sub-Saharan Africa,1.97861,1.44395,1.789646149,0.44314,0.36498,0.479309022,0.77416,0.97619,1.179691911,0.31056,0.36772,0.377922267,0.19103,0.20843,0.183468893,142,128,4.219,3.904,115,4.534999847,0.40457,0.4354,0.409362853,4.151,0.03608,0.11681,0.10713,0.115460448,4.287,4.601603781,4.468395914
Gabon,Gabon,Gabon,Sub-Saharan Africa,Sub-Saharan Africa,1.45332,0.99895,1.322916269,1.15851,1.06024,1.198210239,0.72368,0.90528,1.155620217,0.28098,0.31914,0.312328577,0.06244,0.06822,0.043785378,143,134,4.121,3.896,118,4.465000153,0.3494,0.43372,0.356578588,4.03,0.04547,0.09314,0.11091,0.076046787,4.212,4.557361766,4.372638540
Niger,Niger,Niger,Sub-Saharan Africa,Sub-Saharan Africa,2.09469,1.87877,1.873983383,0.1327,0.0694,0.161925331,0.6053,0.77265,0.993025005,0.38041,0.47692,0.363658696,0.2097,0.19387,0.228673846,144,142,3.856,3.845,135,4.027999878,0.26162,0.29707,0.268505007,3.781,0.03602,0.17176,0.15639,0.138572946,3.931,4.111946820,3.944052936
Cambodia,Cambodia,Cambodia,Southeastern Asia,Southeastern Asia,1.31573,0.98195,1.042941093,0.55604,0.46038,0.601765096,0.5375,0.62736,1.006238341,0.58852,0.66246,0.633375823,0.40339,0.40359,0.385922968,145,140,3.907,3.819,129,4.168000221,0.42494,0.61114,0.429783404,3.798,0.05069,0.08092,0.07247,0.068105951,4.016,4.278517814,4.057482629
Tanzania,Tanzania,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,1.37769,1.38079,0.621130466,0.47155,0.2852,0.511135876,0.77623,1.00268,1.041989803,0.3176,0.32878,0.390017778,0.31472,0.34377,0.354256362,146,149,3.666,3.781,153,3.348999977,0.357,0.38215,0.364509284,3.561,0.05061,0.05099,0.05747,0.066035107,3.771,3.461429755,3.236570199
Madagascar,Madagascar,Madagascar,Sub-Saharan Africa,Sub-Saharan Africa,2.15075,1.851,1.584612608,0.27954,0.20824,0.305808693,0.46115,0.66801,0.913020372,0.13684,0.19184,0.189196765,0.2204,0.21333,0.208732530,147,148,3.695,3.681,144,3.644000053,0.37109,0.46721,0.375223309,3.621,0.03633,0.07506,0.08124,0.067231975,3.769,3.714319106,3.573681001
,Central African Republic,,,Sub-Saharan Africa,,2.7223,,,0.0785,,,0,,,0.48879,,,0.23835,,148,,,3.678,,,,0.06699,,,0.06112,,0.08289,,,,
Chad,Chad,Chad,Sub-Saharan Africa,Sub-Saharan Africa,2.30637,1.94296,2.071238041,0.42214,0.34193,0.438012987,0.63178,0.76062,0.953855872,0.12807,0.23501,0.162342027,0.18667,0.18386,0.216113850,149,144,3.763,3.667,137,3.936000109,0.03824,0.1501,0.041134715,3.672,0.0383,0.04952,0.05269,0.053581882,3.854,4.034711524,3.837288693
